"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"81233","496.0","pp","YDR277C (pp) YDL194W","false","pp","YDR277C (pp) YDL194W"
"81234","988.0","pp","YDR277C (pp) YJR022W","false","pp","YDR277C (pp) YJR022W"
"81235","496.0","pp","YPR145W (pp) YMR117C","false","pp","YPR145W (pp) YMR117C"
"81236","2746.0","pp","YER054C (pp) YBR045C","false","pp","YER054C (pp) YBR045C"
"81237","3174.0","pp","YER054C (pp) YER133W","false","pp","YER054C (pp) YER133W"
"81238","2962.0","pp","YBR045C (pp) YOR178C","false","pp","YBR045C (pp) YOR178C"
"81239","5236.0","pp","YBR045C (pp) YIL045W","false","pp","YBR045C (pp) YIL045W"
"81240","6.0","pp","YBL079W (pp) YDL088C","false","pp","YBL079W (pp) YDL088C"
"81241","496.0","pp","YLR345W (pp) YLR321C","false","pp","YLR345W (pp) YLR321C"
"81242","496.0","pp","YGR136W (pp) YGR058W","false","pp","YGR136W (pp) YGR058W"
"81243","496.0","pp","YDL023C (pp) YJL159W","false","pp","YDL023C (pp) YJL159W"
"81244","4.0","pp","YBR170C (pp) YGR048W","false","pp","YBR170C (pp) YGR048W"
"81245","4.0","pp","YGR074W (pp) YBR043C","false","pp","YGR074W (pp) YBR043C"
"81246","4.0","pp","YGL202W (pp) YGR074W","false","pp","YGL202W (pp) YGR074W"
"81247","2.0","pp","YLR197W (pp) YOR310C","false","pp","YLR197W (pp) YOR310C"
"81248","2.0","pp","YLR197W (pp) YDL014W","false","pp","YLR197W (pp) YDL014W"
"81249","8.0","pp","YDL088C (pp) YER110C","false","pp","YDL088C (pp) YER110C"
"81250","496.0","pp","YMR117C (pp) YPR010C","false","pp","YMR117C (pp) YPR010C"
"81251","1476.0","pp","YMR117C (pp) YCL032W","false","pp","YMR117C (pp) YCL032W"
"81252","496.0","pp","YML114C (pp) YDR167W","false","pp","YML114C (pp) YDR167W"
"81253","496.0","pp","YNL036W (pp) YIR009W","false","pp","YNL036W (pp) YIR009W"
"81254","8540.0041292","pp","YOR212W (pp) YLR362W","false","pp","YOR212W (pp) YLR362W"
"81255","496.0","pp","YDR070C (pp) YFL017C","false","pp","YDR070C (pp) YFL017C"
"81256","496.0","pp","YGR046W (pp) YNL236W","false","pp","YGR046W (pp) YNL236W"
"81257","496.0","pp","YIL070C (pp) YML054C","false","pp","YIL070C (pp) YML054C"
"81258","496.0","pd","YPR113W (pd) YMR043W","false","pd","YPR113W (pd) YMR043W"
"81259","6.0","pp","YER081W (pp) YIL074C","false","pp","YER081W (pp) YIL074C"
"81260","496.0","pd","YGR088W (pd) YLR256W","false","pd","YGR088W (pd) YLR256W"
"81261","739.0","pp","YDR395W (pp) YPR102C","false","pp","YDR395W (pp) YPR102C"
"81262","1929.0","pp","YDR395W (pp) YOL127W","false","pp","YDR395W (pp) YOL127W"
"81263","496.0","pp","YDR395W (pp) YIL052C","false","pp","YDR395W (pp) YIL052C"
"81264","496.0","pp","YDR395W (pp) YER056CA","false","pp","YDR395W (pp) YER056CA"
"81265","496.0","pp","YDR395W (pp) YNL069C","false","pp","YDR395W (pp) YNL069C"
"81266","1929.0","pp","YDR395W (pp) YIL133C","false","pp","YDR395W (pp) YIL133C"
"81267","496.0","pp","YDR395W (pp) YDL075W","false","pp","YDR395W (pp) YDL075W"
"81268","739.0","pp","YGR085C (pp) YDR395W","false","pp","YGR085C (pp) YDR395W"
"81269","249.0","pp","YGR085C (pp) YLR075W","false","pp","YGR085C (pp) YLR075W"
"81270","496.0","pp","YDL030W (pp) YMR005W","false","pp","YDL030W (pp) YMR005W"
"81271","7802.71708292","pp","YDL030W (pp) YDL013W","false","pp","YDL030W (pp) YDL013W"
"81272","12.0","pp","YER079W (pp) YNL154C","false","pp","YER079W (pp) YNL154C"
"81273","12.0","pp","YER079W (pp) YHR135C","false","pp","YER079W (pp) YHR135C"
"81274","1476.0","pp","YDL215C (pp) YLR432W","false","pp","YDL215C (pp) YLR432W"
"81275","1476.0","pd","YDL215C (pd) YER040W","false","pd","YDL215C (pd) YER040W"
"81276","265.33333333","pp","YPR041W (pp) YMR309C","false","pp","YPR041W (pp) YMR309C"
"81277","230.66666667","pp","YPR041W (pp) YOR361C","false","pp","YPR041W (pp) YOR361C"
"81278","496.0","pd","YOR120W (pd) YPL248C","false","pd","YOR120W (pd) YPL248C"
"81279","8.0","pp","YIL074C (pp) YNL311C","false","pp","YIL074C (pp) YNL311C"
"81280","496.0","pd","YDR299W (pd) YJL194W","false","pd","YDR299W (pd) YJL194W"
"81281","988.0","pp","YHR005C (pp) YLR362W","false","pp","YHR005C (pp) YLR362W"
"81282","496.0","pp","YLR452C (pp) YHR005C","false","pp","YLR452C (pp) YHR005C"
"81283","1960.0","pp","YMR255W (pp) YGL122C","false","pp","YMR255W (pp) YGL122C"
"81284","2440.0","pp","YBR274W (pp) YMR255W","false","pp","YBR274W (pp) YMR255W"
"81285","4.83333333","pd","YHR084W (pd) YFL026W","false","pd","YHR084W (pd) YFL026W"
"81286","4.83333333","pd","YHR084W (pd) YDR461W","false","pd","YHR084W (pd) YDR461W"
"81287","485.5","pp","YHR084W (pp) YMR043W","false","pp","YHR084W (pp) YMR043W"
"81288","6133.28291708","pp","YBL050W (pp) YOR036W","false","pp","YBL050W (pp) YOR036W"
"81289","248.5","pp","YBL026W (pp) YOR167C","false","pp","YBL026W (pp) YOR167C"
"81290","988.0","pd","YJL194W (pd) YMR043W","false","pd","YJL194W (pd) YMR043W"
"81291","2916.0","pp","YLR258W (pp) YBR274W","false","pp","YLR258W (pp) YBR274W"
"81292","4780.0","pp","YLR258W (pp) YIL045W","false","pp","YLR258W (pp) YIL045W"
"81293","1476.0","pp","YGL134W (pp) YLR258W","false","pp","YGL134W (pp) YLR258W"
"81294","988.0","pp","YGL134W (pp) YPL031C","false","pp","YGL134W (pp) YPL031C"
"81295","4.0","pd","YPR124W (pd) YMR021C","false","pd","YPR124W (pd) YMR021C"
"81296","988.0","pp","YNL135C (pp) YDR174W","false","pp","YNL135C (pp) YDR174W"
"81297","496.0","pp","YER052C (pp) YNL135C","false","pp","YER052C (pp) YNL135C"
"81298","8233.28291708","pp","YPL240C (pp) YOR036W","false","pp","YPL240C (pp) YOR036W"
"81299","323.0","pp","YPL240C (pp) YBR155W","false","pp","YPL240C (pp) YBR155W"
"81300","249.0","pp","YLR075W (pp) YPR102C","false","pp","YLR075W (pp) YPR102C"
