"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"80903","13.11693548","0.0","0.07623732","0.0","SNF3","1","1","26","0.139","0.018043","0.333","0.033961","0.449","0.011348","false","false","YDL194W","2.0","1","0","0","0.55122461","false","0","YDL194W","0","0.0"
"80904","12.12096774","0.00806452","0.08250166","0.0","MTH1","2","2","25","0.243","2.186E-5","0.192","0.028044","0.448","5.727E-4","false","false","YDR277C","4.0","2","0","0","0.58811231","false","0","YDR277C","2722","0.5"
"80905","1.5","0.0","0.66666667","0.0","YBR043C","1","1","2","0.454","5.373E-8","0.023","0.94178","0.0","0.999999","false","false","YBR043C","2.0","1","0","0","0.75","false","0","YBR043C","0","0.0"
"80906","9.7983871","0.0","0.10205761","0.0","ASN1","1","1","18","-0.195","3.174E-5","-0.614","1.1525E-7","-0.232","0.0011873","false","false","YPR145W","3.0","1","0","0","0.67413381","false","0","YPR145W","0","0.0"
"80907","8.81854839","0.04427321","0.11339735","0.0","GIP2","2","2","19","0.057","0.16958","0.206","6.2032E-4","0.247","0.0043603","false","false","YER054C","4.5","2","0","0","0.71042413","false","0","YER054C","11544","0.58333333"
"80908","9.64516129","0.08528144","0.10367893","0.0","GIP1","3","3","20","0.786","5.5911E-6","1.022","1.2945E-5","0.94","0.016389","false","false","YBR045C","2.33333333","3","0","0","0.67980884","false","0","YBR045C","21474","0.44444444"
"80909","2.0","0.0","0.5","0.0","NUP170","1","1","3","-0.186","2.5668E-4","-0.032","0.45723","-0.42","2.9469E-9","false","false","YBL079W","2.0","1","0","0","0.66666667","false","0","YBL079W","0","0.0"
"80910","9.11693548","0.0","0.10968598","0.0","YLR345W","1","1","19","0.108","0.012373","0.234","7.892E-5","0.116","0.073789","false","false","YLR345W","2.0","1","0","0","0.69937276","false","0","YLR345W","0","0.0"
"80911","9.14919355","0.0","0.10929925","0.0","RPL34B","1","1","19","-0.258","3.7855E-5","-0.451","3.4652E-7","-0.025","0.66627","false","false","YIL052C","8.0","1","0","0","0.69817802","false","0","YIL052C","0","0.0"
"80912","9.14919355","0.0","0.10929925","0.0","","1","1","19",,,,,,,"false","false","YER056CA","8.0","1","0","0","0.69817802","false","0","YER056CA","0","0.0"
